text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km�),Density (P/Km�)
 You`re the only person to have joined in  #penilewords,neutral,morning,0-20,Mongolia,3278290,1553560,2
Up and washed  I`m clothing myself as I type xD WOOOO,positive,noon,21-30,Montenegro,628066,13450,47
 miss u too. I`m still at a club...u know...west coast ****!,negative,night,31-45,Morocco,36910560,446300,83
 love love love pot psycology. My Friday night treat,positive,morning,46-60,Mozambique,31255435,786380,40
Happy Star Wars Day  May the fourth be with you!,positive,noon,60-70,Myanmar (formerly Burma),54409800,653290,83
 Playing with lighters fire matches and grass,neutral,night,70-100,Namibia,2540905,8.23E+05,3
_art That would be the one.  It`s awesome sauce.,positive,morning,0-20,Nauru,10824,20,541
"Bucky, my ferret officially has insulinoma  Now on daily prednisone. Had interview with p-doc today, have to go back monday for testing.",neutral,noon,21-30,Nepal,29136808,143350,203
" I`ve never been to Prague, but if i had the money, it`ll be in the 10 first cities I visit",positive,night,31-45,Netherlands,17134872,33720,508
coffee time,neutral,morning,46-60,New Zealand,4822233,263310,18
" He was creepy for me at first, but I did really grow to like him. I cried like a baby when he and Tosh died.",neutral,noon,60-70,Nicaragua,6624554,120340,55
"_ really!? that son of a ****, screw him, ill talk to on msn later k  xox",negative,night,70-100,Niger,24206644,1266700,19
" We didn`t...but we did have to wait a good twenty minutes for one.  Good night, though!",positive,morning,0-20,Nigeria,206139589,910770,226
 I always hope they will die out but then i see the the old ones and it makes me sad,negative,noon,21-30,North Korea,25778816,120410,214
" thanks Alen, it seems that we can only submit community news, is this an error, or must we prove ourselves",neutral,night,31-45,North Macedonia,2083374,25220,83
 don`t follow me. You will ruin my twitter experience,negative,morning,46-60,Norway,5421241,3.65E+05,15
Blah to car repairs... almost 600 dollars...   Shopping around for a better deal.,negative,noon,60-70,Oman,5106626,309500,16
Weetabix and Choco milk  Yum!,positive,night,70-100,Pakistan,220892340,770880,287
 me too!,neutral,morning,0-20,Palau,18094,460,39
I`m sad to have lost another person close to me to cancer,negative,noon,21-30,Palestine State,5101414,6020,847
_me Thanks! Kinda bittersweet though,neutral,night,31-45,Panama,4314767,74340,58
_Nutbar Good morning  how are you? #TwitterTakeover,positive,morning,46-60,Papua New Guinea,8947024,452860,20
First time to Twitter..,neutral,noon,60-70,Paraguay,7132538,397300,18
Captain Jack is back,neutral,night,70-100,Peru,32971854,1280000,26
"_la ben`s dreams make me so saddddddd  i want them to be togetherrr. i swear if this **** gets me bawlinggg, so help me..",negative,morning,0-20,Philippines,109581078,298170,368
"Internet, you were so fast! And now you are so slow! Where did the fast connection go?",neutral,noon,21-30,Poland,37846611,3.06E+05,124
 6 am.  you?,neutral,night,31-45,Portugal,10196709,91590,111
30 year old Barbie dolls still can rock it...that girl was H-O-T!  and Ken ain`t so bad either!  now those are memories!,negative,morning,46-60,Qatar,2881053,11610,248
this weather makes my fingers numb / still waiting,negative,noon,60-70,Romania,19237691,230170,84
 LOL yeah ima mama  thanks. happy mama`s day and lakers day! i love it!,positive,night,70-100,Russia,145934462,16376870,9
DONE--IT`S SUMMER!!!,neutral,morning,0-20,Rwanda,12952218,24670,525
 I was just at Geno`s 3hrs ago.  Would have went to Pats but the Neon Lights got me lol.  Had drinks at South Philly Bar too,neutral,noon,21-30,Saint Kitts and Nevis,53199,260,205
http://yfrog.com/0xoxij Fry bread is good but they only gave me a little pinch of lettuce  ha ha,positive,night,31-45,Saint Lucia,183627,610,301
 Its WoW! effect  Thanks for the update.,positive,morning,46-60,Saint Vincent and the Grenadines,110940,390,284
"got up at 8 today, and also misses his friend ",negative,noon,60-70,Samoa,198414,2830,70
catching up on my reading... twitter n BF break,neutral,night,70-100,San Marino,33931,6.00E+01,566
" No, that`s not right - I remember now.  You were in a fearless tweet - we were both seen as fearless.",neutral,morning,0-20,Sao Tome and Principe,219159,960,228
  my thoughts dwell on a certain person,neutral,noon,21-30,Saudi Arabia,34813871,2149690,16
Transition time is over; tonight I work night shift. I woke up at 1330.,neutral,night,31-45,Senegal,16743927,192530,87
Gonna go to work with my honey today!!!! So exciting!!!,positive,morning,46-60,Serbia,8737371,87460,100
_ aww thats too bad you lost it though,negative,noon,60-70,Seychelles,98347,460,214
 this my new more private acc. Will only use it for close twitter friends,neutral,night,70-100,Sierra Leone,7976983,72180,111
I hate going online and looking at the balance in the bank.  its always a lot lower than I need it to be.,negative,morning,0-20,Singapore,5850342,700,8358
" actually, the web works fine. tweetdeck seems to be the culprit  sadness! it`s done this at two diff. locations",neutral,noon,21-30,Slovakia,5459642,48088,114
_x How did your Geo ISU go? I swear I just had the worse day ever..,negative,night,31-45,Slovenia,2078938,20140,103
"And you could have it all, my empire of dirt! I`m in a&e with dad I`m freezing fully shivering Every1 else is warm  no fones allowed ffs!",negative,morning,46-60,Solomon Islands,686884,2.80E+04,25
 tell me what you think of Pride Prejudice and Zombies . . . if you`re not all hyped up on sugar,neutral,noon,60-70,Somalia,15893222,627340,25
"_tdh Can you install ruby, gems and rails on keep? Please?",neutral,night,70-100,South Africa,59308690,1213090,49
Out for ultimate training. looking forward to the sunset!,positive,morning,0-20,South Korea,51269185,97230,527
going to work once again. what a great few days off i had. now it`s over  but atleast i get 2 more commin up wahooooooo,positive,noon,21-30,South Sudan,11193725,610952,18
 Good to see you back. Sorry that happened to you,neutral,night,31-45,Spain,46754778,498800,94
My 1st Mothers Day Tomorrow,neutral,morning,46-60,Sri Lanka,21413249,62710,341
"'you said 'darling what happened? did I fall asleep, and you carry me home? Cuz I know I wasn`t here'' Goodnight twitterererers",positive,noon,60-70,Sudan,43849260,1765048,25
" I just about clear my whole office and no sign of it  next place is truck, I have yet to fully clean under back seat lol!",neutral,night,70-100,Suriname,586632,156000,4
 It`s not gonna storm!  because I said so!,neutral,morning,0-20,Sweden,10099265,410340,25
 I broke my ipod,negative,noon,21-30,Switzerland,8654622,3.95E+04,219
_banks 'Something must be wrong. Only found 17 July Harl/Sil books I wanted,negative,night,31-45,Syria,17500658,183630,95
 Haha and you should! State pride is important,positive,morning,46-60,Tajikistan,9537645,139960,68
" Ugh, did you just say your friend might have swine flu? OMG, why?",negative,noon,60-70,Tanzania,59734218,885800,67
" haha no problem, it`s fun isn`****",positive,night,70-100,Thailand,69799978,510890,137
"Finally got to wash my hair! I feel much better now, but I gotta dry it ... Effffffort.",positive,morning,0-20,Timor-Leste,1318445,14870,89
finally feel back into swing of things here at work after getting married last week! sigh of relief for no more wedding planning!,positive,noon,21-30,Togo,8278724,54390,152
 that sucks  booo.,negative,night,31-45,Tonga,105695,720,147
Hates untalented **** being mean to my talented friends,neutral,morning,46-60,Trinidad and Tobago,1399488,5130,273
looks like we`re rained out for weekend climbing,negative,noon,60-70,Tunisia,11818619,155360,76
Is Google Maps not working for anyone else?,neutral,night,70-100,Turkey,84339067,7.70E+05,110
 oh ****!!,negative,morning,0-20,Turkmenistan,6031200,469930,13
 i dont really trust the judgements and vouches of _xo   jk. i`ll think about becoming a friend of yours,negative,noon,21-30,Tuvalu,11792,30,393
 Jesus heals,positive,night,31-45,Uganda,45741007,199810,229
 It`s surprising how much Billy Idol turns up in tweets. I monitor constantly - not that I`m obsessed or anything!  #BillyIdol,neutral,morning,46-60,Ukraine,43733762,579320,75
 werd. that`s very true,neutral,noon,60-70,United Arab Emirates,9890402,83600,118
 Your birthday? WELL Happy birthday,positive,night,70-100,United Kingdom,67886011,241930,281
Without wings again,neutral,morning,0-20,United States of America,331002651,9147420,36
 did you tweet me? i thought i remembered seeing one but i cant see it now! SO glad teatree is ok!,positive,noon,21-30,Uruguay,3473730,175020,20
Night twitterland x I have to be up in five hours  sigh,neutral,night,31-45,Uzbekistan,33469203,425400,79
 Happy birthday in 2 hours and 54 minuets  Haha,positive,morning,46-60,Vanuatu,307145,1.22E+04,25
"lunch break`s over, going back to work....",neutral,noon,60-70,Venezuela,28435940,882050,32
Glad to see it`s a typical Bank Holiday weather wise - I was going to do so much today - yeah right!,positive,night,70-100,Vietnam,97338579,310070,314
 Hayley Williams is pretty much amazzing,positive,morning,0-20,Yemen,29825964,527970,56
 the app said i need 12.1.5 or later,neutral,noon,21-30,Zambia,18383955,743390,25
 --Nothing,neutral,night,31-45,Zimbabwe,14862924,386850,38
is in PHP website upgrade hell on a Bank Holiday. How`s that for planning!,neutral,morning,46-60,Afghanistan,38928346,652860,60
 not really having a good night... missing my little girl...,negative,noon,60-70,Albania,2877797,27400,105
  miss you captain,negative,night,70-100,Algeria,43851044,2381740,18
Im sending this to my mother!  http://bit.ly/1aa1RF,neutral,morning,0-20,Andorra,77265,470,164
" OI, are you mocking the fact I dont cry at tv things?!  *Feels bad*xxx",negative,noon,21-30,Angola,32866272,1246700,26
 i am public and can`t get anyone to follow me,neutral,night,31-45,Antigua and Barbuda,97929,440,223
" Until  brings back our EVERYONE button, access PT @ http://twitter.com/public_timeline or link in bottom of Settings.",neutral,morning,46-60,Argentina,45195774,2736690,17
 Boring? Who you been talking to? Lol not me  ( no ****),neutral,noon,60-70,Armenia,2963243,28470,104
"  I know, right? I guess the oldest doesn`t hold rank on field trips anymore.",neutral,night,70-100,Australia,25499884,7682300,3
"just signed up..so, hello twitter world, here I am",neutral,morning,0-20,Austria,9006398,8.24E+04,109
 I won`t be getting any ROTF toys `till MUCH later.  Tell me if anybody isn`t/is worth getting.,neutral,noon,21-30,Azerbaijan,10139177,82658,123
 heading over to xbox  will go shopping 2morrow,neutral,night,31-45,Bahamas,393244,10010,39
 I saw that you were calling but cannot answer as I`m in the second hour of a phone convo with my mom and she won`t stop talking,neutral,morning,46-60,Bahrain,1701575,760,2239
is excited!  http://plurk.com/p/stk04,positive,noon,60-70,Bangladesh,164689383,130170,1265
 hmmm really??? that`s weird idk about that one  sowwy,negative,night,70-100,Barbados,287375,430,668
 oh that looks boring  and even more boring you have an exam on a saturday,negative,morning,0-20,Belarus,9449323,202910,47
Practice was a beast today. Not going to see Julian tonight,neutral,noon,21-30,Belgium,11589623,30280,383
"Getting somewhere with my first 'real' KiokuDB and catalyst app, yay",neutral,night,31-45,Belize,397628,22810,17
 Thanks though - am trying to be positive!!  Wine may not be helping lol!!  Wish I could make the gigs.....,positive,morning,46-60,Benin,12123200,112760,108
 i think my niece got me sickee  lame.,negative,noon,60-70,Bhutan,771608,3.81E+04,20
Rise and shine  Time to get prettifide.,positive,night,70-100,Bolivia,11673021,1083300,11
" I tried sooooo hard to work from home today, but failed  Not my fault though.",negative,morning,0-20,Bosnia and Herzegovina,3280819,51000,64
 Gosh I`ve a stinky old headache. Maybe I should have lunchfast,negative,noon,21-30,Botswana,2351627,566730,4
Glenna is bored but glad that it is a beautiful day. Macy went swimming and Kris played golf while I sat at home waiting for them,neutral,night,31-45,Brazil,212559417,8358140,25
bout 2 have 1 more drink then imma head in da house,neutral,morning,46-60,Brunei,437479,5270,83
"i get so sucked in to true life, and that steve-o documentary was intense, i love that ****, it`s nice to see people get their lives back",neutral,noon,60-70,Bulgaria,6948445,108560,64
I love my life  Ni night twitter!<3,positive,night,70-100,Burkina Faso,20903273,273600,76
 We knew what what you meant!,neutral,morning,0-20,Burundi,11890784,25680,463
Succesfully following Tayla!!,positive,noon,21-30,C�te d'Ivoire,26378274,318000,83
my new phrase is `you never doubt mo williams`   six game win streak!,neutral,night,31-45,Cabo Verde,555987,4.03E+03,138
 Have fun tomorrow night. I think it will be more fun at a bar than art gallery. Wish I could be there,positive,morning,46-60,Cambodia,16718965,176520,95
 4th... Please not! Maybe she`ll get 3 attempts and win tomorrow!!,neutral,noon,60-70,Cameroon,26545863,472710,56
trying to learn to tweet!!  it`s all good I hope..,positive,night,70-100,Canada,37742154,9093510,4
"Bleargh. I can never clean as much of my house as I want to before work, no matter how early I wake up. Today: sink, laundry.",negative,morning,0-20,Central African Republic,4829767,622980,8
"Great, social network sites are still growing",positive,noon,21-30,Chad,16425864,1259200,13
